title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Twine,"Allan pillai",Axt,GBKQU2177673,tidal,194470036,396s,,,http://www.tidal.com/track/194470036
"Mutate & Survive","Oliver Ho, James Ruskin","Metro Dance Club - Tension 2000 by José Rives",ESA060010404,tidal,175048620,191s,,,http://www.tidal.com/track/175048620
"Syndrome (Takaaki Itoh Remix)",Gotshell,"Cluster Syndrome",GBKQU2180585,tidal,194261837,367s,,,http://www.tidal.com/track/194261837
"Sonus One",7Function,Metropol,DEKB72062918,tidal,195297451,423s,,,http://www.tidal.com/track/195297451
Venere,PVS,"Grande Giove",NLCK41076770,tidal,160101061,372s,,,http://www.tidal.com/track/160101061
"Controlled (Original Mix)","Antonio De Angelis","Connection Series #A4",DEKB72063020,tidal,194070021,333s,,,http://www.tidal.com/track/194070021
"Escape from Tarkov",Kølpøs,"Vastitas Borealis",NLCK41091463,tidal,194168513,320s,,,http://www.tidal.com/track/194168513
Checkmate,"Phil Berg",HYS.K005.1,NLCK41092531,tidal,198318609,334s,,,http://www.tidal.com/track/198318609
Allergically,"Dani Vegas","Monark Series 01",GBKQU2182662,tidal,193799861,351s,,,http://www.tidal.com/track/193799861
Kaleidoscope,"Arthur Robert","Arrival Pt. 1",DECY52000800,tidal,271248241,379s,,,http://www.tidal.com/track/271248241
"Water Moving",Gotshell,"Olympian 21",NLPJ72100374,tidal,194398803,288s,,,http://www.tidal.com/track/194398803
"Gamma 01","Pfirter, Oliver Rosemann",Gamma,DECY52101680,tidal,194711802,317s,,,http://www.tidal.com/track/194711802
"Moon Landing Conspiracy (Translate Remix)",Ecilo,Antimatter,NLCK41092652,tidal,200944684,393s,,,http://www.tidal.com/track/200944684
"Need (Rene Wise Remix)",Ignez,SMV004,QZNWW2113482,tidal,307288022,329s,,,http://www.tidal.com/track/307288022
Hammond,"Nicolas Vogler","Warehouse Jazz",GBKQU2158989,tidal,196053321,252s,,,http://www.tidal.com/track/196053321
"Violet Drive Space","A Thousand Details","Sewer Stories",NLCK41092385,tidal,197253826,334s,,,http://www.tidal.com/track/197253826
"Second Choice","Luca La Rocca",Imprinting,QMSL32100123,tidal,198078905,305s,,,http://www.tidal.com/track/198078905
Searching,"Steve Bicknell","Ritual Act. III",ITZN72100081,tidal,200373522,365s,,,http://www.tidal.com/track/200373522
RM1,Cravo,"Random Measure EP",NLCK41092477,tidal,197429508,334s,,,http://www.tidal.com/track/197429508
"Kuant (Original)",Farceb,"Faro Del Mundo",NLCK41092369,tidal,197429549,401s,,,http://www.tidal.com/track/197429549
Coco,TWR72,HYS.K005.1,NLCK41092532,tidal,198318610,294s,,,http://www.tidal.com/track/198318610
Trim,"RONY Group","Go Shawk",CH6542173653,tidal,195970000,333s,,,http://www.tidal.com/track/195970000
"Play Nice",Slone,"Come What May",DEH742173385,tidal,197258541,289s,,,http://www.tidal.com/track/197258541
"Mannequin (PWCCA Remix)",BRÄLLE,"Misericordia EP",ES55E2100036,tidal,190427885,344s,,,http://www.tidal.com/track/190427885
"Sinnesorgan II","Alexander Johansson, Mattias Fridell",Sinnesorgan,QMSL31950221,tidal,199749600,359s,,,http://www.tidal.com/track/199749600
Targa,Untold,"Targa / Glare",DEOE81320047,tidal,199591420,542s,,,http://www.tidal.com/track/199591420
"Complex Data","The Advent, Industrialyzer","SCH EXP",GBYNV1100044,tidal,16019294,492s,,,http://www.tidal.com/track/16019294
"Silent Vibrations",Altone,"After World",GBKQU2142502,tidal,183915804,409s,,,http://www.tidal.com/track/183915804
"Leibig (Marco Faraone Remix)",Hybrasil,"Stellar Variation EP",GBJX32198065,tidal,284715001,415s,,,http://www.tidal.com/track/284715001
"Red Dial",Plastique01,"De Rio 001",UKN6K2003440,tidal,196602694,411s,,,http://www.tidal.com/track/196602694
"Fallen Monuments (Original)","De Guela Beats","Faro Del Mundo",NLCK41092368,tidal,197429548,350s,,,http://www.tidal.com/track/197429548
"Stay Focused","Marcel Reix","Stay Focused EP",GBJX32100029,tidal,282564044,327s,,,http://www.tidal.com/track/282564044
"Range Of Vision","Black Girl / White Girl","Hallucin8 EP",GBJX32100018,tidal,282562824,316s,,,http://www.tidal.com/track/282562824
Contact,"Paula Temple","The Speck of the Future EP",GBLFP0204302,tidal,63093638,383s,,,http://www.tidal.com/track/63093638
"Abstract Romance",SLYRS,LI$024,QZMHM2071484,tidal,162839286,364s,,,http://www.tidal.com/track/162839286
Ontario,"Nobel Cortex",Consumption,GBKQU2197162,tidal,199749637,333s,,,http://www.tidal.com/track/199749637
Secondary,Cratan,Boulder,USYBL2101734,tidal,193712880,319s,,,http://www.tidal.com/track/193712880
"Can't trust your eyes","Mod 21","Can't Trust Your Eyes",NLCK41059348,tidal,119634442,445s,,,http://www.tidal.com/track/119634442
"Pot Hole Riddled (Original Mix)","Jonas Kopp","[R]3volution H3roes Vol.1",ITN9E2100007,tidal,194062742,335s,,,http://www.tidal.com/track/194062742
Tablharmonium,"Marco Shuttle","Sans Titre 01",DGA062039287,tidal,167308175,469s,,,http://www.tidal.com/track/167308175
Trembling,Sinfol,"Phasing Faces Vol. 1",NLM6T1600022,tidal,70910844,393s,,,http://www.tidal.com/track/70910844
1-06,"Bernardo Hangar",Metamorfosis,NLPJ75100392,tidal,196604202,430s,,,http://www.tidal.com/track/196604202
Enemies,"Glenn Wilson",H1,NLCK41062820,tidal,129815012,351s,,,http://www.tidal.com/track/129815012
"You Spoil Everything","Stanislav Tolkachev","It Will Be Too Late Then",DEMM41801217,tidal,121813648,251s,,,http://www.tidal.com/track/121813648
Rictus,Holldën,"If Your Ghost Producer Is Second Rate Then You're Third Rate",QMSL32100135,tidal,199749588,351s,,,http://www.tidal.com/track/199749588
Innervision,"Sylvie Maziarz","Innervision EP",DEKB72049541,tidal,139357738,330s,,,http://www.tidal.com/track/139357738
"Binary Dream","Pulso AS, Dani Vegas (ARG)","Dynamic Stage",GBLV62103365,tidal,199749969,351s,,,http://www.tidal.com/track/199749969
"Thought Crime",MATRiXXMAN,GRID00234,QM24S2011770,tidal,234099063,360s,,,http://www.tidal.com/track/234099063
Vortex,"Kai van Dongen",Expression,DESR42100464,tidal,199642546,489s,,,http://www.tidal.com/track/199642546
"The Eve (James Ruskin Remix)",Truncate,"First Phase",USA2P2138293,tidal,198409891,300s,,,http://www.tidal.com/track/198409891
"Alles Nach Nippon","Takkyu Ishino","BERLIN TRAX",JPKS09800187,tidal,144970385,510s,,,http://www.tidal.com/track/144970385
"I Am","Robert Hood","Paradygm Shift",NLTH61700058,tidal,73830874,354s,,,http://www.tidal.com/track/73830874
Ash,"Bas Mooy, Jeroen Liebregts","Herdersmat part 23-29",NLCK41062166,tidal,130873132,423s,,,http://www.tidal.com/track/130873132
Squid,TWR72,Venom,NLC8K1400307,tidal,188543622,305s,,,http://www.tidal.com/track/188543622
"Rush in the Kombini",Alarico,Komeroshi,GBLV62035398,tidal,178969269,287s,,,http://www.tidal.com/track/178969269
"Criminal Task",Primal,"Hitman (Vinyl)",USZAY0700016,tidal,10297061,348s,,,http://www.tidal.com/track/10297061
"Wild Mind",Fixon,"Horizons: One",QMSL32100140,tidal,200712180,388s,,,http://www.tidal.com/track/200712180
Polygon,"Kangding Ray","Azores EP",DECY51903003,tidal,271247897,307s,,,http://www.tidal.com/track/271247897
"Sleep Off","Omis (Italy)","Sleep off EP",GBJX32100005,tidal,283455000,355s,,,http://www.tidal.com/track/283455000
Fatal,Moddullar,Medo,NLCK41057067,tidal,111820375,365s,,,http://www.tidal.com/track/111820375
"Outset (Deetron Remix)","Gaetano Parisio","CONFORM RE-TOUCHED SERIES VOL.II",ITMVX2000006,tidal,147788065,383s,,,http://www.tidal.com/track/147788065
"Out Of Line","Ritzi Lee",ABN001,CA5KR0002200,tidal,197343004,386s,,,http://www.tidal.com/track/197343004
"The Black Firefighter",Regis,Gymnastics(Restored),GBE5X1700008,tidal,76281906,307s,,,http://www.tidal.com/track/76281906
"No Matter When",Biemsix,"Find Your Own Meaning",NLMH62100109,tidal,191517849,477s,,,http://www.tidal.com/track/191517849
Shinobi,"Vinicius Honorio","Borrowed Time",NLPJ75200397,tidal,198067967,353s,,,http://www.tidal.com/track/198067967
"Tell Ya What","Shlomi Aber",Warping,IL4092101302,tidal,198181663,324s,,,http://www.tidal.com/track/198181663
Overkill,"Circuit Breaker, Richie Hawtin","Blueprints for Modern Technology, Vol. 1",CAM269120005,tidal,114842340,432s,,,http://www.tidal.com/track/114842340
"Mtnz002 (Original Mix)",dc11,"Phase Rotations",USA2P2139766,tidal,261619888,308s,,,http://www.tidal.com/track/261619888
"Curve 2 2","Dawn Razor",Curve,QMSL32100142,tidal,201446888,376s,,,http://www.tidal.com/track/201446888
"Slow Motion",Angioma,"Divergence EP (Inc Nørbak Remix)",GBUP72100552,tidal,199436744,363s,,,http://www.tidal.com/track/199436744
Consumed,"Plastikman, Richie Hawtin",Consumed,CAM269850002,tidal,137608708,700s,,,http://www.tidal.com/track/137608708
Karma,"BLANKA (ES)","Reality's Escape (inc Yant Remix)",GBUP72100503,tidal,171158308,377s,,,http://www.tidal.com/track/171158308
"Page 1","James Ruskin, DVS1","Chapter One",GB2AF2100016,tidal,199181416,373s,,,http://www.tidal.com/track/199181416
"Strikeout (Surgeon Remix)",Hardfloor,Strikeout,DEP999500068,tidal,18980320,324s,,,http://www.tidal.com/track/18980320
Bisonspoor,Invite,"Phonology EP",NLCK41027823,tidal,50813616,319s,,,http://www.tidal.com/track/50813616
Station,Aicrag,"Nucleus Ep",NLCK41093807,tidal,200677106,302s,,,http://www.tidal.com/track/200677106
"Night Vision","Suburban Knight","Nocturbulous Behavior - The Mix",USGUM0910233,tidal,8467043,135s,,,http://www.tidal.com/track/8467043
Histoperc,Cratan,"The Tribalist",QMSL31950226,tidal,202267983,338s,,,http://www.tidal.com/track/202267983
"The Tribalist",Cratan,"The Tribalist",QMSL31950228,tidal,202267985,370s,,,http://www.tidal.com/track/202267985
"Sap Loop",Cratan,"The Tribalist",QMSL31950229,tidal,202267986,318s,,,http://www.tidal.com/track/202267986
"Hookah Plug",Beennooutside,"Collective 2",QM4TX2130103,tidal,175132627,329s,,,http://www.tidal.com/track/175132627
"Text One","Rhythm Assembler",Paths,NLCK41093274,tidal,200944696,325s,,,http://www.tidal.com/track/200944696
Tundra,"Alfredo Mazzilli","The Italian Resistance - music against the virus",GBKQU2036192,tidal,136966634,369s,,,http://www.tidal.com/track/136966634
Sentience,"Connor Wall","Fragmented Memories",NLCK41093816,tidal,200677127,352s,,,http://www.tidal.com/track/200677127
Vibrations,"Vinicius Honorio","Borrowed Time",NLPJ75200398,tidal,198067968,341s,,,http://www.tidal.com/track/198067968
Labstract,"Planetary Assault Systems","Sky Scraping",BEN582100216,tidal,199611894,431s,,,http://www.tidal.com/track/199611894
"Give In","Planetary Assault Systems","Sky Scraping",BEN582100219,tidal,199611898,364s,,,http://www.tidal.com/track/199611898
"If I Die","Planetary Assault Systems","Sky Scraping",BEN582100220,tidal,199611899,336s,,,http://www.tidal.com/track/199611899
Coal,"Planetary Assault Systems","Sky Scraping",BEN582100221,tidal,199611900,310s,,,http://www.tidal.com/track/199611900
Devotion,"Planetary Assault Systems","Sky Scraping",BEN582100217,tidal,199611901,365s,,,http://www.tidal.com/track/199611901
Run,"Planetary Assault Systems","Sky Scraping",BEN582100222,tidal,199611902,378s,,,http://www.tidal.com/track/199611902
"Nano Chameleon","Planetary Assault Systems","Sky Scraping",BEN582100224,tidal,199611904,370s,,,http://www.tidal.com/track/199611904
"Obscurity is Infinity","Jeroen Search, Pushmann","Control Circuit",IL4092101401,tidal,202393633,296s,,,http://www.tidal.com/track/202393633
"Dream Deceiver (Fergus Sweetland Remix)","Connor Wall","Fragmented Memories",NLCK41093819,tidal,200677133,466s,,,http://www.tidal.com/track/200677133
"Amygdala+ (Original Mix)",Phara,"A Constant State Of Movement",NLCK41092933,tidal,200944644,377s,,,http://www.tidal.com/track/200944644
Asereht,"Kaiser (K S R)","Isotopic Signature",DEH742172895,tidal,197392638,326s,,,http://www.tidal.com/track/197392638
Ketatscha,"Juri Heidemann","Control Circuit",IL4092101406,tidal,202393638,375s,,,http://www.tidal.com/track/202393638
"Contemporary Decline","Setaoc Mass","Isotopic Signature",DEH742172893,tidal,197392636,341s,,,http://www.tidal.com/track/197392636
"Numbers (Live)",Kraftwerk,"Minimum - Maximum",GBAYE0402459,tidal,1358981,273s,,,http://www.tidal.com/track/1358981
"And Then We Planned Our Escape","Robert Hood","Hoodmusic 3",BEN580700382,tidal,107260077,458s,,,http://www.tidal.com/track/107260077
Transit,"Answer Code Request","Mdr 14.1",DEMM41401462,tidal,87381383,332s,,,http://www.tidal.com/track/87381383
J_EX4,Judas,Distress,NLCK41057862,tidal,119476020,353s,,,http://www.tidal.com/track/119476020
"If (2019 Remaster)","James Ruskin","Point 2 (2019 Remaster)",DEF270014502,tidal,227036991,316s,,,http://www.tidal.com/track/227036991
"Dead End Road","Sam Duties","Dead End Road",USA2P2140930,tidal,200736108,318s,,,http://www.tidal.com/track/200736108
"Myror i brallan (Original Mix)","Alexander Johansson, Mattias Fridell","Simhall 101 EP",DECY52101963,tidal,252304824,392s,,,http://www.tidal.com/track/252304824
"Tracer (Original Mix)","Xander (US)","Static, Vol. 2",DEY472070183,tidal,166482478,346s,,,http://www.tidal.com/track/166482478
"Ploy (Original Mix)",Lasawers,"Collective Futura XV",CA5KR0008904,tidal,200290194,334s,,,http://www.tidal.com/track/200290194
"AR01 (Jacking Mix)",Flug,"Austral Frames",GBLTF2100071,tidal,284623423,307s,,,http://www.tidal.com/track/284623423
Low,Responder,"Premises EP",DEKB72063742,tidal,197385245,332s,,,http://www.tidal.com/track/197385245
"Transit (Original mix)","Casual Treatment",Transit,ITH642025703,tidal,179208645,380s,,,http://www.tidal.com/track/179208645
"Frictional Resistance (Original Mix)","Linear System","Naturally Occurring EP",GBWUL2125750,tidal,200659549,374s,,,http://www.tidal.com/track/200659549
Polynasia,"Takkyu Ishino","BERLIN TRAX",JPKS09800181,tidal,144970379,284s,,,http://www.tidal.com/track/144970379
"Front (D.Dan Remix)","Blue Hour","Remixed Complete",UK6491400058,tidal,146121590,387s,,,http://www.tidal.com/track/146121590
"Explore Mars (Original mix)","DJ Surgeles","Scotopic Vision",DEZN82105463,tidal,185917210,300s,,,http://www.tidal.com/track/185917210
Redemption,"Linear System","Ben Sims Presents Synchronicity Part Two",NLMH62100136,tidal,201065960,459s,,,http://www.tidal.com/track/201065960
"Dead Planets 1",Elyas,"Surface Textures",NLPJ63200228,tidal,78922366,365s,,,http://www.tidal.com/track/78922366
Perception,"Fadi Mohem","Perception - EP",DEOE81900021,tidal,199495615,349s,,,http://www.tidal.com/track/199495615
"Armagedon (Original mix)","JC Laurent","Dimension Y",DEZN82110817,tidal,195650909,317s,,,http://www.tidal.com/track/195650909
"In da Hood","Lucass P","In da Hood",FRS182077233,tidal,159270113,325s,,,http://www.tidal.com/track/159270113
Dralq,"Paul Nazca",Extinction,FR9W12134348,tidal,200615375,377s,,,http://www.tidal.com/track/200615375
"Alpha State (Original mix)","Pulso AS","Erratic EP",DEZN82121296,tidal,200346415,372s,,,http://www.tidal.com/track/200346415
"Fizz City",Blawan,"Soft Waahls EP",GBQLP2101228,tidal,186127290,319s,,,http://www.tidal.com/track/186127290
"Bright Side Of The Spoon",Sugar,"Eyes Cream EP",NLCK41083608,tidal,174944846,409s,,,http://www.tidal.com/track/174944846
"When A Thought Becomes You","Blake Baxter","When a Thought Becomes You",GBJX33816016,tidal,283892349,361s,,,http://www.tidal.com/track/283892349
Salient,"The Southern, Tenzella","Jackin House",QMDA62176532,tidal,202229417,346s,,,http://www.tidal.com/track/202229417
"Liquid Metal","Benjamin Damage","Deep Space Transit",NLCK41064195,tidal,145748972,455s,,,http://www.tidal.com/track/145748972
Lupulys,Möd3rn,"Trabeos 10 - EP",FR9W11902744,tidal,108567619,357s,,,http://www.tidal.com/track/108567619
Raise,"Ryogo Yamamori",Plumeria,BEN582100528,tidal,202934871,404s,,,http://www.tidal.com/track/202934871
Unbind,Realmz,Mindfold,USM2Q0800843,tidal,86508298,344s,,,http://www.tidal.com/track/86508298
Glass,SLEEPARCHIVE,Trust,DEF272031602,tidal,227008271,277s,,,http://www.tidal.com/track/227008271
"Live Reaction (Spirit)","Sebastian Kramer","Principles & Tactics (Remastered)",NLL561908051,tidal,154389923,337s,,,http://www.tidal.com/track/154389923
"Alien Radar",dxrvo,"Alien Connections VII",GBLV62110622,tidal,202679521,352s,,,http://www.tidal.com/track/202679521
"Prism Guard",Rrose,Preretinal,USI4R1221738,tidal,109206700,500s,,,http://www.tidal.com/track/109206700
Delirium,"Stockholm Syndrome SK","Mind Games EP",GBJX32198084,tidal,284679806,354s,,,http://www.tidal.com/track/284679806
Power,"Nobel Cortex",Consumption,GBKQU2197163,tidal,199749638,253s,,,http://www.tidal.com/track/199749638
Destiny,"BAUGRUPPE90, Tim Rausch",Destiny,DEKS32100145,tidal,261948286,375s,,,http://www.tidal.com/track/261948286
Dehumanization,"Michel Lauriola","No Boundaries: Four",QMSL32100148,tidal,202267424,388s,,,http://www.tidal.com/track/202267424
"SD 00.04",Slam,"Strange Dayz",GBBVL2001004,tidal,189897365,377s,,,http://www.tidal.com/track/189897365
"Take It Higher (Live)","Frankie Bones","Computer Controlled (Live in California)",USLQ21710290,tidal,92930572,332s,,,http://www.tidal.com/track/92930572
"Irregular Consciousness (Hattori Hanzō Remix)","The Ripped, Hattori Hanzo","Forbidden Dimension",GBWUL2132376,tidal,202999808,380s,,,http://www.tidal.com/track/202999808
"Shinjuku Streets",Alarico,Komeroshi,GBLV62035388,tidal,178969259,287s,,,http://www.tidal.com/track/178969259
"Commander (Original Mix)",Vil,Commander,GBKQU1949363,tidal,109504563,342s,,,http://www.tidal.com/track/109504563
"Lost Transmitter",MSDMNR,"Saturn Crisis",QMSL32100152,tidal,204130270,372s,,,http://www.tidal.com/track/204130270
"Polymorphism 9","Alexander Johansson","Polymorphism (Part 2)",NLC8K1400324,tidal,201066054,353s,,,http://www.tidal.com/track/201066054
Lucid,TWR72,Lucid,NLC8K1400069,tidal,73145648,321s,,,http://www.tidal.com/track/73145648
"Silencers (Original Mix)",Redshift,"Project Delta",GBKQU1612715,tidal,58358965,367s,,,http://www.tidal.com/track/58358965
"Intense Reaction",ANDC,"Intense Reaction",NLCK41092947,tidal,205908498,349s,,,http://www.tidal.com/track/205908498
"Optical Way A1","Rino Cerrone","Optical Way",CABZ50000047,tidal,245502038,313s,,,http://www.tidal.com/track/245502038
"In the Dark","The 65D Mavericks",Blueprint25,GB2AF0200006,tidal,192043652,203s,,,http://www.tidal.com/track/192043652
Stringent,"Internal Explorer",Rigorous,CH6542190234,tidal,202805288,268s,,,http://www.tidal.com/track/202805288
"Eternal 2 ",Ketch,"Formed Ethics",NLCK41082701,tidal,173519744,337s,,,http://www.tidal.com/track/173519744
"Day Of Riddance",CW/A,"Day Of Riddance",DEU671501316,tidal,41275781,308s,,,http://www.tidal.com/track/41275781
"First Signal",MSDMNR,"Saturn Crisis",QMSL32100153,tidal,204130271,351s,,,http://www.tidal.com/track/204130271
Conclusion,"Glenn Wilson, Mattias Fridell","Observation EP",NLCK41095425,tidal,204505357,344s,,,http://www.tidal.com/track/204505357
Maña,BW,1114,QZMHK2044678,tidal,185455201,282s,,,http://www.tidal.com/track/185455201
"Declination (Syva001)","LYRIC (GER)",Syva001,DEAR42198344,tidal,199474203,338s,,,http://www.tidal.com/track/199474203
"Flaunt (Original Mix)","Cari Lekebusch",Gimma,GBLV61906294,tidal,123978441,399s,,,http://www.tidal.com/track/123978441
"Mirage II",Pushmann,"Attraction & Opposition",QMSL31950233,tidal,205053529,340s,,,http://www.tidal.com/track/205053529
"Volatile Substance",SSTROM,Kiln,GBQLP2101492,tidal,202404578,380s,,,http://www.tidal.com/track/202404578
"Non Finito (Original Mix)",Ocherii,Transferase,USA2P2144911,tidal,261619891,360s,,,http://www.tidal.com/track/261619891
Flows,Altinbas,"Layers Of Compassion",BEN581900614,tidal,121543096,386s,,,http://www.tidal.com/track/121543096
"Unkulu Tribe",Cirkle,"Spatial Bonds",GBLV62110221,tidal,205131448,309s,,,http://www.tidal.com/track/205131448
"Rigorous (Alarico Remix)","Internal Explorer",Rigorous,CH6542190231,tidal,202805289,359s,,,http://www.tidal.com/track/202805289
"Break Your Chains",Angioma,"Divergence EP (Inc Nørbak Remix)",GBUP72100553,tidal,199436745,374s,,,http://www.tidal.com/track/199436745
"Radiation Problem","Hattori Hanzo","Quantum Mechanics",NLCK41078989,tidal,164125167,369s,,,http://www.tidal.com/track/164125167
152,"Sev Dah","Proletarijat 002",BEN581700720,tidal,79572201,340s,,,http://www.tidal.com/track/79572201
14.II.1945,Unis,"Proletarijat 009",BEN582100451,tidal,202136700,356s,,,http://www.tidal.com/track/202136700
"Synth Lies",Morrice,"Back on Tracks",UKN6K2100028,tidal,201697430,304s,,,http://www.tidal.com/track/201697430
"Ape Layers (Original)","Wice (DE)","Ape Layers",NLCK41093762,tidal,204204226,379s,,,http://www.tidal.com/track/204204226
"At the Side of Silence",Regis,"Beyond the Reach of Time",NLAR12100031,tidal,201697682,264s,,,http://www.tidal.com/track/201697682
"Pontape (Planetary Assault Systems Remix)","Renato Cohen","Pontape (Remixes)",QMFMF2105939,tidal,203197072,447s,,,http://www.tidal.com/track/203197072
"Polymorphism 8","Alexander Johansson","Polymorphism (Part 2)",NLC8K1400323,tidal,201066053,345s,,,http://www.tidal.com/track/201066053
Overflow,JLTZ,"Tabula Rasa",QMSL32100095,tidal,194922265,329s,,,http://www.tidal.com/track/194922265
Deflected,"Filipe Barbosa","Deflected EP",GBKQU2189881,tidal,196055787,357s,,,http://www.tidal.com/track/196055787
Rotary,Slam,"Rotary / Catacoustics",GBBVL1404001,tidal,30141548,380s,,,http://www.tidal.com/track/30141548
Transmogrification,"D'Marc Cantu",Fallen,NLNY41100107,tidal,10801878,340s,,,http://www.tidal.com/track/10801878
Shiganshina,Steø,"Driving Kinetics",GBKQU2137695,tidal,188178824,387s,,,http://www.tidal.com/track/188178824
Contrane,Emmanuel,"Man Worships Power",QMPVS1500304,tidal,171684705,364s,,,http://www.tidal.com/track/171684705
Pogon,Unis,"Proletarijat 009",BEN582100450,tidal,202136699,373s,,,http://www.tidal.com/track/202136699
Bug,"Tomash Gee","I Need An Enemy EP",NLCK41034271,tidal,64665353,336s,,,http://www.tidal.com/track/64665353
"Titanium (Audio Units & dotdat Remix)","Jay Clarke","Riders of the Storm - Part C: Titanium",NLCK41094379,tidal,203600109,306s,,,http://www.tidal.com/track/203600109
"Structure (Johannes Volk Remix)","Rhythm Assembler","Concrete Structures",DEU672101821,tidal,200845455,366s,,,http://www.tidal.com/track/200845455
Kalkú,"Marcelo Antonio",Organica001,QZS672167054,tidal,205338468,363s,,,http://www.tidal.com/track/205338468
"Leaving Ygam","Iro Ritman","Blue Discipline",NLCK41094218,tidal,205235210,318s,,,http://www.tidal.com/track/205235210
"Arranga (VSSR Remix)",Parano,"Parano x VSSR",QZMER2192300,tidal,198344845,324s,,,http://www.tidal.com/track/198344845
Bastun,UBX127,"Brain Mechanix",DECY52101009,tidal,271248865,342s,,,http://www.tidal.com/track/271248865
Easycapture,Gotshell,Compilation,DEH742177025,tidal,202739211,336s,,,http://www.tidal.com/track/202739211
"Outside In","Cari Lekebusch","Corrosive EPS.4",FIKBL2100033,tidal,198897572,421s,,,http://www.tidal.com/track/198897572
"Black Out",Flug,"Move Around EP",GBLTF2100143,tidal,284281175,343s,,,http://www.tidal.com/track/284281175
"Ratio 1",Truncate,Ratios,USQY51785121,tidal,80001150,332s,,,http://www.tidal.com/track/80001150
"Fight Unites (Original Mix)","Mesh Convergence","Collective Futura XVI",CA5KR0017610,tidal,203356516,314s,,,http://www.tidal.com/track/203356516
"Buried Mistakes","Christian Wunsch","False Flag",NLCK41011268,tidal,126088225,420s,,,http://www.tidal.com/track/126088225
"Whir (VIL Remix)",TWR72,Whir,NLCK41074330,tidal,158439785,318s,,,http://www.tidal.com/track/158439785
Framing,"Stanislav Tolkachev","Ground-Fault-Interrupt Vol. 2",GBJX31612807,tidal,284893920,366s,,,http://www.tidal.com/track/284893920
"Rotten Face",Cravo,"Hate And Tenderness III",QMSL31950096,tidal,160252666,343s,,,http://www.tidal.com/track/160252666
"Manta Ray",Marcal,"Thought Control",BEN582100997,tidal,204893181,297s,,,http://www.tidal.com/track/204893181
"Habitable Zone",Pfirter,"Altered States",DECY52102306,tidal,204419931,328s,,,http://www.tidal.com/track/204419931
G1,Szmer,"Sharp Claws",USA2P2145346,tidal,203067764,298s,,,http://www.tidal.com/track/203067764
"Another Ganz (Original Mix)",Uzb,"Reclaimed Ep",FR6V82247007,tidal,69543036,334s,,,http://www.tidal.com/track/69543036
Okular,BAUGRUPPE90,Sportbeton,DEKS32100165,tidal,261923980,346s,,,http://www.tidal.com/track/261923980
"True lies (Original)","Setaoc Mass","Solid Void EP (Original)",NLCK41047988,tidal,89428684,375s,,,http://www.tidal.com/track/89428684
Monojunk,Vil,Dafvnk,IL4092107802,tidal,192145719,247s,,,http://www.tidal.com/track/192145719
"6AM Groove","Paul Hauck, Tim Rausch","6AM Groove",QZNWU2147984,tidal,201748494,379s,,,http://www.tidal.com/track/201748494
"6 Bullets 1 Barrel",Cave,"6 Bullets On The Subway EP",SE5MG0620501,tidal,68894916,410s,,,http://www.tidal.com/track/68894916
"Celesta 33","Stef Mendesidis","Klockworks 26",UKRXP1900005,tidal,113893312,308s,,,http://www.tidal.com/track/113893312
"Diatonico (Original Mix)","WHT MOTH","Sottotono EP",ES55E2100053,tidal,206746227,327s,,,http://www.tidal.com/track/206746227
"Those days are gone","Alberto Tolo","Discordia EP",CA5KR0020220,tidal,204360964,297s,,,http://www.tidal.com/track/204360964
Nocturnal,FLAWS,Knowledge,NLCK41095583,tidal,205425721,308s,,,http://www.tidal.com/track/205425721
"Glacial Tides",Vohkinne,"Supreme Dialect",DECY52101356,tidal,188035767,322s,,,http://www.tidal.com/track/188035767
"Say It Loud","Planetary Assault Systems","Say It Loud",BEN582100203,tidal,182502550,376s,,,http://www.tidal.com/track/182502550
Rotate,Moddullar,"Injuries EP",NLCK41094609,tidal,206934980,346s,,,http://www.tidal.com/track/206934980
"Algorithm 03",88756,TOOLKIT,QZDA72157010,tidal,176692044,340s,,,http://www.tidal.com/track/176692044
Disorder,"BLANKA (ES)","Dirty Game",DEH742101179,tidal,206205366,306s,,,http://www.tidal.com/track/206205366
Magnify,"The Lady Machine","Magnify EP",BEN582100509,tidal,205982974,331s,,,http://www.tidal.com/track/205982974
"Runslide Fudge (Original Mix)","A Thousand Details","Damião de Góis",NLCK41096140,tidal,207000532,328s,,,http://www.tidal.com/track/207000532
Polychrome,"Head Front Panel","Linguistic EP",NLL562111395,tidal,204720563,347s,,,http://www.tidal.com/track/204720563
"Mørdarbakken (Original Mix)",Riddika,"The Wish Machine",GBMEG2100757,tidal,289928370,294s,,,http://www.tidal.com/track/289928370
"Sfoghi D'Aria (Original mix)",Evod,"Fonderia LP",NLCK41077418,tidal,163343706,337s,,,http://www.tidal.com/track/163343706
"Dancing To Be Free","Volpe (ARG)","Collective Perception",QZMHM2097498,tidal,188105554,329s,,,http://www.tidal.com/track/188105554
"Boss Loop",MATRiXXMAN,"Collective Perception",QZMHM2025440,tidal,188105556,309s,,,http://www.tidal.com/track/188105556
"Massive Gong",Cratan,"Collective Perception",QZMHK2004962,tidal,188105557,364s,,,http://www.tidal.com/track/188105557
Brucs,Fixon,"Collective Perception",QZMHK2060212,tidal,188105558,412s,,,http://www.tidal.com/track/188105558
