title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Sleeping With Ghosts",Förm,KR012,GBLV62000749,tidal,158550149,366s,,,http://www.tidal.com/track/158550149
"Rückzug (Ketch Remix)","Hedström & Pflug",Rückzug,DEH742170074,tidal,192982586,327s,,,http://www.tidal.com/track/192982586
"Make Your Move",Förm,KR012,GBLV62000747,tidal,158550147,383s,,,http://www.tidal.com/track/158550147
"Rage against the dying of the light","Mac Declos","Hard work always pays off",FRDX62208280,tidal,252070860,321s,,,http://www.tidal.com/track/252070860
"Fast Tool [ISH EP 01]",Isaiah,"Sloot EP [ISH EP 01]",QZS642295728,tidal,268185322,320s,,,http://www.tidal.com/track/268185322
Vone,LDS,algo5,UK6491400119,tidal,246794825,355s,,,http://www.tidal.com/track/246794825
"Tourist World",Onleash,"Tourist World",QM6N22239529,tidal,233471956,314s,,,http://www.tidal.com/track/233471956
Trackman,"Andrew Richley, Ryan Rivera",Trackman,DEE829801390,tidal,16652969,427s,,,http://www.tidal.com/track/16652969
Brazitechno,"Robert Natus","Endless Sequence Ep",DEH740800581,tidal,140075252,390s,,,http://www.tidal.com/track/140075252
"Impression (David Moleon Remix)","Dj Link, J-Nat, David Moleon","Sexto EP",USLZJ1688702,tidal,63646961,398s,,,http://www.tidal.com/track/63646961
"The Sinus",Chab,Tunneling,GBCFW1100224,tidal,10948671,509s,,,http://www.tidal.com/track/10948671
"Kolo A Děda","M@RTY epitom","Under the Culture",CZA163346699,tidal,89328738,332s,,,http://www.tidal.com/track/89328738
Special,"Stoned Baby","Metro Dance Club - Tension 2000 by José Rives",ESA060010414,tidal,175048628,274s,,,http://www.tidal.com/track/175048628
"The Pain of Regret",P.E.A.R.L.,"Life of Pleasures EP",NLCK41056093,tidal,110159635,342s,,,http://www.tidal.com/track/110159635
"Dark Star","DJ Ogi","Dark Star Remixes",DEAR41329215,tidal,27329097,370s,,,http://www.tidal.com/track/27329097
"Exo (Original Mix)","David Lohlein","Exo EP",GBKQU1943262,tidal,110498976,391s,,,http://www.tidal.com/track/110498976
Kahun,Titanium,Spectralised,ATBA10300113,tidal,17560691,330s,,,http://www.tidal.com/track/17560691
"Too Old For School",Tube-Tech,Raw,DEG840400830,tidal,16856724,352s,,,http://www.tidal.com/track/16856724
Julia,Hertz,Perspective,SE5MG0580106,tidal,68338795,281s,,,http://www.tidal.com/track/68338795
Trail,"Leo Minasso",Trail,FRDX62201090,tidal,218129879,279s,,,http://www.tidal.com/track/218129879
Valquirias,"DJ Dextro","Spectrum Protocol",GBKQU2310283,tidal,276828617,328s,,,http://www.tidal.com/track/276828617
"Manifest (PUSHMANN Remix Version 2)",Ackermann,"Manifest PUSHMANN Remixes",DEEN72300020,tidal,289245669,324s,,,http://www.tidal.com/track/289245669
"Like That","Beau Didier","Federation of Rytm II",DEH742302372,tidal,275871253,300s,,,http://www.tidal.com/track/275871253
Sdom,Kashpitzky,"Forgot Your name",NLCK42215282,tidal,231214352,368s,,,http://www.tidal.com/track/231214352
"Telepathic Connection (Chlär Remix)",Zisko,"State Of Vibration",NLCK42215695,tidal,232864643,321s,,,http://www.tidal.com/track/232864643
"Electric Dance Workout",JKS,"Dance With The Lights",FRDX62305210,tidal,294917098,335s,,,http://www.tidal.com/track/294917098
"Creature (Mikrotakt Remix)","DJ Prim","Vibrate LP",NLCK42216291,tidal,235126263,345s,,,http://www.tidal.com/track/235126263
"Sunset Street","Son Kite","Knee Deep",USA2P1811358,tidal,134421300,534s,,,http://www.tidal.com/track/134421300
"Give Me (Original Mix)",Staim,"Chord141 EP",NLCK41084575,tidal,176852888,345s,,,http://www.tidal.com/track/176852888
Conga,uncertain,Concept,QMDA62163953,tidal,201696094,296s,,,http://www.tidal.com/track/201696094
"G Force (Original Mix)","Goncalo M","G Activity",GBKQU1623349,tidal,58818342,368s,,,http://www.tidal.com/track/58818342
"los Hijos del Sol (Original Mix)","Tomaz, Filterheadz","los Hijos del Sol Remixes, Pt. 2",GBKQU1510863,tidal,55397144,437s,,,http://www.tidal.com/track/55397144
Inform,"Andre Walter, Chris Hope","Brothers In ARMS",NLCK41034392,tidal,64665097,332s,,,http://www.tidal.com/track/64665097
Zerocrossing,"David Moleon","Techno Archives",NLCK40900671,tidal,126196763,349s,,,http://www.tidal.com/track/126196763
Dependance,"Lars Klein","First Base EP",DEH740200145,tidal,140003262,328s,,,http://www.tidal.com/track/140003262
